Genus	Species	SeedWeight_g
Ambavia	gerrardii	699.3513514g
Amborella	trichopoda	3.675g
Anaxagorea	panamensis	92.7g
Anemopsis	californica	0.364g
Aniba	sp.	505.0g
Annona	acuminata	36g
Annona	cherimola	351.04g
Annona	glabra	183g
Annona	hayesii	62g
Annona	hypoglauca	444.0g
Annona	jahnii	31.13g
Annona	muricata	396g
Annona	neglecta	133.0g
Annona	purpurea	897g
Annona	reticulata	239.2g
Annona	senegalensis	94.25g
Annona	senegalensis	117.8g
Annona	sp.	133.3g
Annona	spraguei	37g
Annona	squamosa	267g
Annona	urbaniana	337.1704g
Aristolochia	albida	3.711g
Aristolochia	bracteolata	8.2581g
Aristolochia	chapmaniana	6g
Aristolochia	chilensis	6.7758g
Aristolochia	clematitis	42.2156g
Aristolochia	elegans	2.104g
Aristolochia	iberica	19.3696g
Aristolochia	maurorum	53.0g
Aristolochia	maxima	8.6019231g
Aristolochia	paecilantha	26.8788g
Aristolochia	pontica	13.6461216g
Aristolochia	ringens	4.3764g
Aristolochia	sempervirens	27.2928g
Aristolochia	tagala	4.8088g
Aristolochia	taliscana	2.604g
Aristolochia	tomentosa	29.2324g
Artabotrys	brachypetalus	976.76g
Artabotrys	hapetalus	587g
Artabotrys	monteiroae	268.0g
Asarum	canadense	7.78g
Asarum	europaeum	2.82g
Asarum	hartwegii	9.523g
Ascarina	lucida	0.55g
Ascarina	philippinensis	1.1g
Ascarina	polystachya	0.28g
Ascarina	rubricaulis	0.303g
Ascarina	solmsiana	0.733g
Ascarina	swamyana	1.057g
Asimina	parviflora	300.6g
Asimina	triloba	847g
Atherosperma	moschatum	1.388g
Austrobaileya	scandens	365g
Beilschmiedia	bancroftii	20179g
Beilschmiedia	kweo	21111g
Beilschmiedia	miersii	3745g
Beilschmiedia	pendula	4744g
Beilschmiedia	recurva	1261g
Beilschmiedia	sp.	5600g
Beilschmiedia	tarairi	2500g
Beilschmiedia	tawa	1250g
Beilschmiedia	tooram	5800g
Beilschmiedia	volckii	24000g
Bocageopsis	multiflora	200.0g
Brasenia	schreberi	6.78g
Brasenia	tuberosa	9.805g
Cabomba	caroliniana	1.143g
Calycanthus	floridus	59.4g
Calycanthus	occidentalis	76.899g
Cananga	odorata	61.6g
Cassytha	ciliolata	38.102g
Cassytha	filiformis	40.95g
Cassytha	flindersii	20.9716g
Cassytha	glabella	28.26g
Cassytha	melantha	73.0328g
Cassytha	pedicellosa	10.225g
Cassytha	pubescens	38.97g
Cephalosphaera	usambarensis	23377g
Chimonanthus	praecox	109.6g
Chloranthus	erectus	2.16g
Chloranthus	fortunei	0.98g
Chloranthus	henryi	1.346g
Chloranthus	japonicus	1.66g
Chloranthus	serratus	0.853g
Chloranthus	sessilifolius	2.104g
Chloranthus	spicatus	2.178g
Chlorocardium	rodiei	35480g
Cinnamomum	burmanii	97.3g
Cinnamomum	camphora	108g
Cinnamomum	cassia	390g
Cinnamomum	cecidodaphne	3.84g
Cinnamomum	glanduliferum	172.04g
Cinnamomum	iners	262g
Cinnamomum	laubatii	650g
Cinnamomum	porrectum	33g
Cinnamomum	subavenium	106g
Cinnamomum	verum	261.1231884g
Cinnamomum	zeylanicum	568.2g
Cremastosperma	leiophyllum	220.0g
Cryptocarya	alba	833.33g
Cryptocarya	angulata	1600g
Cryptocarya	concinna	386g
Cryptocarya	corrugata	2119g
Cryptocarya	grandis	1000g
Cryptocarya	latifolia	4395.7219251g
Cryptocarya	mackinnoniana	652g
Cryptocarya	melanocarpa	270g
Cryptocarya	oblata	7650g
Cryptocarya	onoprienkoana	668g
Cryptocarya	pleurosperma	11000g
Cryptocarya	putida	428g
Cryptocarya	sp.	2100g
Cryptocarya	triplinervis	281.281g
Cyathocalyx	ramuliflorus	110g
Cymbopetalum	baillonii	333.5g
Daphnandra	repandula	4.7g
Doryphora	aromatica	10g
Doryphora	sassafras	12.7428g
Drimys	andina	4.8332g
Drimys	winteri	3.5172g
Drimys	winteri	11.4g
Drimys	xerophila	28.85g
Duguetia	neglecta	310.0g
Duguetia	quitarensis	425.0g
Endiandra	bessaphila	1100g
Endiandra	insignis	15763g
Endiandra	longipedicellata	2004g
Endiandra	monothyra	1900g
Endiandra	montana	7550g
Endiandra	palmerstonii	21945g
Endiandra	sankeyana	5600g
Endiandra	sideroxylon	4000g
Endiandra	xanthocarpa	9800g
Endlicheria	dysodantha	1230.0g
Endlicheria	punctulata	800.0g
Ephedranthus	guianensis	2450.0g
Euryale	ferox	60.35g
Eusideroxylon	zwageri	28571g
Fissistigma	sp.	310g
Friesoia	obovata	315.9677g
Friesoia	sp.	220g
Galbulimima	belgraveana	0.9g
Guatteria	acutissima	150.0g
Gymnacranthera	eugeniifolia	200g
Gymnacranthera	farquhariana	700g
Gyrocarpus	americanus	371.64g
Gyrocarpus	americanus	289.28096g
Gyrocarpus	americanus	361g
Gyrocarpus	mocinoi	360.43g
Hedycarya	angustifolia	1.82g
Hedycarya	arborea	232g
Hedycarya	loxocarya	35g
Hedyosmum	bonplandianum	1.832g
Hedyosmum	brasiliense	1.132g
Hedyosmum	micanum	0.939g
Hedyosmum	nutans	0.635g
Hernandia	sonora	2506.6666667g
Halobus	monopetalus	6014.0g
Horsfieldia	punctatifolia	1600g
Houttuynia	cordata	0.05g
Idiospermum	australiense	82000g
Illicium	anisatum	37.24g
Illicium	floridanum	6.1877g
Illicium	henryi	4.2373g
Illicium	parviflorum	8.084g
Illicium	simonsii	36.1163g
Illicium	verum	47.6g
Illigera	madagascariensis	90.5989045g
Iryanthera	af	500g
Iryanthera	c	1600g
Iryanthera	juruensis	4000.0g
Kadsura	coccinea	61.676g
Kadsura	heteroclita	9.14g
Kadsura	interior	134.242g
Kadsura	japonica	4.471g
Kadsura	longipedunculata	3.018g
Kadsura	oblongifolia	3.038g
Knema	latericia	1670g
Knema	laurina	1100g
Laurelia	novae-zelandiae	12g
Laurelia	philippiana	2g
Laurelia	sempervirens	4.902g
Laureliopsis	philippiana	1.3g
Laurus	nobilis	508.4g
Licaria	rigida	1237.0g
Licaria	sp.	630g
Licaria	velutina	3550.0g
Lindera	benzoin	103.0g
Lindera	communis	54.9g
Lindera	latifolia	52.482g
Lindera	megaphylla	363g
Lindera	praecox	275.6g
Lindera	queenslandica	281.15g
Lindera	umbellata	105.93g
Liriodendron	tulipifera	54.1g
Litsea	accedens	290g
Litsea	bindoniana	290g
Litsea	calicaris	400.0g
Litsea	costata	710g
Litsea	glauca	312.5g
Litsea	glaucescens	110.0g
Litsea	glutinosa	146g
Litsea	grandis	950g
Litsea	leefeana	600g
Litsea	martabanica	161.6g
Litsea	panamonja	285.71g
Litsea	polyantha	188.68g
Litsea	pungens	24.3g
Litsea	umbrosa	3333g
Machilus	gammieana	3333g
Macropiper	celsum	1.9g
Magnolia	acuminata	88.51g
Magnolia	campbellii	70.92g
Magnolia	dealbata	258.0995988g
Magnolia	denudata	303.03g
Magnolia	elegans	170g
Magnolia	floribunda	147.2248g
Magnolia	fraseri	99.85g
Magnolia	fulva	88.628g
Magnolia	grandiflora	72.9g
Magnolia	insignis	54.8097826g
Magnolia	kobus	169g
Magnolia	kobus	191g
Magnolia	liliiflora	112.4424g
Magnolia	macrophylla	146.2g
Magnolia	obovata	273g
Magnolia	pallescens	52.2824g
Magnolia	salicifolia	212.77g
Magnolia	sieboldii	105.1g
Magnolia	stellata	232.56g
Magnolia	tripetala	263.16g
Magnolia	virginiana	62.3g
Magnolia	wilsonii	81.25g
Magnolia	x	303.03g
Malmea	af	1390g
Malmea	depressa	1030.0g
Malmea	diclina	1080g
Melodorum	australis	38g
Melodorum	leichhardtii	165.32g
zettia	parviflora	5600g
Michelia	baillonii	88.5g
Michelia	champaca	59g
Michelia	champaca	168g
Michelia	doltsopa	90.5g
Michelia	macclurei	46.5g
Michelia	montana	204.08g
Michelia	oblonga	123.46g
Michelia	velutina	135.14g
Miliusa	longiflora	2381g
Miliusa	tomentosa	417.4g
Miliusa	velutina	343.8g
Mkilua	fragrans	124.3755g
Mollinedia	viridiflora	220.0g
Monanthotaxis	buchananii	90.696g
Monanthotaxis	fornicata	56.82g
Monanthotaxis	micrantha	100.32g
Monodora	grandidieri	619.852g
Myristica	cinnamomea	7900g
Myristica	fragrans	7793g
Myristica	maingayi	8200g
Nectandra	amazonum	2032.0g
Nectandra	ambigens	1800.0g
Nectandra	sp.	11340g
Neolitsea	dealbata	146g
Neolitsea	parvigemma	320g
Nothaphoebe	umbelliflora	2100g
Nuphar	lutea	21.58g
Nuphar	polysepalum	2.188g
Nymphaea	maculata	1.7668g
Nymphaea	nouchalii	1.443g
Nymphaea	odorata	5.86g
Nymphaea	thermarum	1.1324g
Ocotea	acutifolia	581.5g
Ocotea	dendrodaphne	310.0g
Ocotea	duidensis	173.46g
Ocotea	endresiana	750g
Ocotea	floribunda	1643.32g
Ocotea	leucoxylon	100g
Ocotea	puberula	125.7g
Ocotea	usambarensis	50g
Ocotea	whitei	7300g
Ondinea	purpurea	0.799g
Orophea	sp.	700g
Otoba	parvifolia	1815.0g
Oxandra	espintana	375.0g
Peperomia	abyssinica	0.224g
Peperomia	angustata	0.2488g
Peperomia	bellendenkerensis	0.1676g
Peperomia	blanda	0.27g
Peperomia	blanda	0.1780702g
Peperomia	coquimbensis	0.166g
Peperomia	eekana	0.1228g
Peperomia	enervis	0.25g
Peperomia	fernandeziana	0.1916g
Peperomia	leptostachya	0.44g
Peperomia	magnoliifolia	0.2046g
Peperomia	obtusifolia	0.0996g
Peperomia	pellucida	0.1472g
Peperomia	polystachya	0.2112g
Peperomia	retusa	0.1848g
Peperomia	septentrionalis	0.31192g
Peperomia	sincorana	0.1g
Peperomia	tetraphylla	0.2134g
Peperomia	urvilleana	0.20292g
Persea	americana	15308g
Persea	breviflora	339g
Persea	chinensis	337g
Persea	lingue	1.45g
Persea	macrantha	455g
Persea	odoratissima	315.6g
Phaeanthus	ophthalmicus	300g
Phoebe	attenuata	555.56g
Phoebe	cinnamomifolia	597.46g
Phoebe	hainesiana	1000g
Piper	aequale	0.06g
Piper	amalago	1.36g
Piper	arboreum	1.01g
Piper	arieianum	1.3g
Piper	auritum	9.0g
Piper	caninum	21.0632g
Piper	capense	2.548g
Piper	capense	4.1908g
Piper	carrilloanum	0.04g
Piper	cordulatum	3.12g
Piper	culebranum	0.65g
Piper	darienense	9.45g
Piper	diguetii	1.7036g
Piper	dilatatum	0.1g
Piper	grande	0.18g
Piper	hispidum	0.1g
Piper	jacquemontianum	0.86g
Piper	marginatum	0.2g
Piper	mestonii	1.3468g
Piper	mullesua	2.0088g
Piper	nigrum	31.63g
Piper	peltatum	0.04g
Piper	phytolaccaefolium	6.23g
Piper	pseudofuligineum	0.35g
Piper	reticulatum	5.2g
Piper	rothianum	1.2g
Piper	sancti-felicis	0.14g
Piper	tuberculatum	1.06g
Piper	umbellatum	0.073g
Piper	urostachyum	2.56g
Polyalthia	fragrans	3225.8g
Polyalthia	longifolia	1674g
Polyalthia	nitidissima	147g
Polyalthia	pendula	129.2666667g
Polyalthia	simiarum	2486g
Polyalthia	sumatrana	820g
Polyaulax	sp.	720g
Pothoe	peltata	0.04g
Pseudowintera	colorata	9.7g
Pseudoxandra	polyphleba	397.0g
Pycnanthus	angolensis	2000g
Pycnanthus	kombo	1818g
Ravensara	aromatica	8333.3g
Ravensara	crassifolia	1163.936g
Rollinia	jimenezii	160.0g
Rollinia	microsepala	40g
Sageraea	elliptica	487.8g
Sarcandra	glabra	1.23g
Sarcandra	hainanensis	1.239g
Sassafras	albidum	74g
Schisandra	arisanensis	5.996g
Schisandra	bicolor	6.66g
Schisandra	chinensis	6.878g
Schisandra	elongata	12.9476g
Schisandra	glabra	6.818g
Schisandra	grandiflora	4.643g
Schisandra	henryi	2.656g
Schisandra	lancifolia	13.826g
Schisandra	propinqua	4.735g
Schisandra	repanda	12.243g
Schisandra	sphaerandra	5.16g
Siparuna	andina	10.0g
Siparuna	guianensis	20g
Sparattanthelium	tarapotanum	500.0g
Tambourissa	cordifolia	111.5012931g
Tambourissa	peltata	154.2321302g
Tambourissa	quadrifida	92.5174825g
Tasmannia	xerophila	28.85g
Tetrasynandra	longipes	224g
Toussaintia	orientalis	227.6g
Trimenia	moorei	1.663g
Trimenia	neocaledonica	5.715g
Trimenia	papuana	4.359g
Trimenia	weinmanniifolia	1.558g
Umbellularia	californica	1801g
Unonopsis	perrottetii	283.3g
Unonopsis	rufescens	50.0g
Unonopsis	stipitata	646.7g
Uvaria	acuminata	80.246g
Uvaria	chamae	96.3948g
Uvaria	denhardtiana	205.84g
Uvaria	kirkii	42.24g
Uvaria	leptopoda	280g
Uvaria	lucida	61.1996g
Uvaria	lucida	70.8g
Virola	calophylla	1310.0g
Virola	guatemalensis	1962.0g
Virola	michelii	2160.0g
Virola	nobilis	2480g
Virola	sebifera	701g
Virola	surinamensis	1838g
Warburgia	salutaris	171g
Warburgia	ugandensis	5780g
Xylopia	aromatica	41.04g
Xylopia	bemarivensis	174.608g
Xylopia	cuspidata	165.0g
Xylopia	ligustrifolia	75.0g
Xylopia	longipetala	219.057g
Xylopia	macrantha	150.9g
Xylopia	malayana	110g
Xylopia	richardii	97.5971993g
Xylopia	sp.	740g
Xymalos	monospora	167g
Acanthephippium	sylhetense	7.0E-4g
Acanthocarpus	preissii	53.584g
Acorus	americanus	3.8072g
Acorus	calamus	3.72g
Acrachne	racemosa	0.1962g
Acroceras	amplectens	4.088g
Acroceras	calcicola	0.6136g
Acroceras	zizanioides	3.256g
Acrocomia	aculeata	9297.7898551g
Adonidia	merrillii	3010g
Aechmea	allenii	0.5872g
Aechmea	anomala	0.53632g
Aechmea	aquilega	1.3103526g
Aechmea	bromeliifolia	2.4961538g
Aechmea	coelestis	0.329g
Aechmea	comata	0.4272g
Aechmea	fulgens	0.98g
Aechmea	gamosepala	0.3g
Aechmea	gracilis	0.37872g
Aechmea	kertesziae	0.4666667g
Aechmea	longifolia	5.098374g
Aechmea	lueddemanniana	0.7353414g
Aechmea	mertensii	2.6316g
Aechmea	nudicaulis	0.368g
Aechmea	recurvata	0.7384g
Aechmea	winkleri	0.636g
Aegilops	bicornis	5.9812g
Aegilops	biuncialis	26.63g
Aegilops	caudata	6.46g
Aegilops	columnaris	15.04g
Aegilops	comosa	12.03g
Aegilops	crassa	17.31g
Aegilops	cylindrica	25.1g
Aegilops	geniculata	16.95g
Aegilops	juvenalis	18.76g
Aegilops	kotschyi	55.6g
Aegilops	longissima	19.6g
Aegilops	mutica	3.8g
Aegilops	neglecta	15.69g
Aegilops	peregrina	53.75g
Aegilops	peregrina	30.0252g
Aegilops	searsii	9.64g
Aegilops	sharonensis	17.22g
Aegilops	sp.	7.43g
Aegilops	speltoides	6.51g
Aegilops	speltoides	23.56g
Aegilops	tauschii	18.55g
Aegilops	triuncialis	18.0g
Aegilops	umbellulata	12.34g
Aegilops	uniaristata	9.13g
Aegilops	vavilovii	60.61g
Aegilops	ventricosa	43.2g
Aeluropus	lagopoides	0.264g
Aeluropus	littoralis	162.0g
Aerangis	confusa	0.0019268g
Aerangis	somalensis	0.0019268g
Aframomum	alboviolaceum	32.88g
Aframomum	angustifolium	22.5882g
Aframomum	elliottii	14.28g
Aframomum	strobilaceum	12.6844g
Agapanthus	africanus	6.6g
Agapanthus	inapertus	3.958g
Agapanthus	inapertus	5.5g
Agave	americana	8.98g
Agave	angustiarum	4.1408g
Agave	atrovirens	8.3g
Agave	attenuata	1.8392g
Agave	chrysantha	7.6732g
Agave	deserti	11.396g
Agave	filifera	1.7992g
Agave	geminiflora	2.1g
Agave	ghiesbreghtii	1.8896g
Agave	karwinskii	7.8276g
Agave	kerchovei	2.8486g
Agave	lecheguilla	5.5g
Agave	lechuguilla	5.031g
Agave	macroacantha	8.8824g
Agave	marmorata	3.174g
Agave	missionum	5.0674g
Agave	mitis	1.5612g
Agave	palmeri	7.8388g
Agave	parryi	11.2924g
Agave	parryi	4.4g
Agave	parryi	7.08g
Agave	potatorum	6.03g
Agave	potreriana	1.4g
Agave	salmiana	9.3396g
Agave	salmiana	6.7404g
Agave	schottii	4.8712g
Agave	schottii	2.2g
Agave	striata	3.024g
Agave	stricta	2.9678g
Agave	tequilana	5.918g
Agave	toumeyana	5.1444g
Agave	utahensis	3.7556g
Agave	vivipara	7.3533g
Agave	xylonacantha	1.6504g
Aglaonema	nitidum	98.1828571g
Aglaonema	simplex	200g
Agropyron	caninum	3.1g
Agropyron	ciliare	4.17g
Agropyron	cristatum	13.7g
Agropyron	cristatum	1.7g
Agropyron	dasystachyum	3.3g
Agropyron	desertorum	2.1g
Agropyron	elongatum	5.26g
Agropyron	glaucum	5.7g
Agropyron	imbricatum	1.98g
Agropyron	inerme	3.6g
Agropyron	intermedium	5.7g
Agropyron	junceum	6.2g
Agropyron	obtusiusculum	6.7g
Agropyron	repens	2.1g
Agropyron	riparium	2.9g
Agropyron	scabrum	0.668g
Agropyron	scribneri	0.156g
Agropyron	smithii	2.89g
Agropyron	spicatum	4.8g
Agropyron	tenerum	3.25g
Agropyron	trachycaulum	3.2g
Agropyron	trichophorum	5.6g
Agropyron	tsukushiense	5.38g
Agrostis	alba	0.08g
Agrostis	australiensis	0.07g
Agrostis	canina	0.05g
Agrostis	canina	0.06g
Agrostis	canina	0.06g
Agrostis	capillaris	0.075g
Agrostis	castellana	0.17g
Agrostis	clavata	0.11g
Agrostis	curtisii	0.1024g
Agrostis	delicatula	0.0722g
Agrostis	exarata	0.1052g
Agrostis	gigantea	0.08g
Agrostis	himalayana	0.0688g
Agrostis	hyemalis	0.07g
Agrostis	hyemalis	0.05g
Agrostis	muelleriana	0.0936g
Agrostis	pallida	0.05g
Agrostis	parviflora	0.0708g
Agrostis	perennans	0.09848g
Agrostis	pourretii	0.0564g
Agrostis	propinqua	0.088g
Agrostis	rupestris	0.1404g
Agrostis	scabra	0.077g
Agrostis	stolonifera	0.07g
Agrostis	stolonifera	0.07g
Agrostis	tenuis	0.07g
Agrostis	thurberiana	0.027g
Agrostis	variabilis	0.077g
Agrostis	venusta	0.144g
Agrostis	vinealis	0.0606g
Agrostocrinum	scabrum	1.7172g
Aira	caryophyllea	0.13g
Aira	cupaniana	0.043g
Aira	elegantissima	0.0592g
Aira	praecox	0.16g
Albuca	abyssinica	2.6845g
Albuca	acuminata	0.847g
Albuca	bracteata	1.0936g
Albuca	canadensis	0.9g
Albuca	cooperi	0.949g
Albuca	donaldsonii	10.49g
Albuca	exuviata	0.8g
Albuca	fastigiata	1.8776g
Albuca	glauca	1.858g
Albuca	juncifolia	0.57g
Albuca	nelsonii	2.15g
Albuca	nigritana	1.8g
Albuca	paradoxa	0.9848g
Albuca	pendula	2.8316g
Albuca	secunda	1.2725g
Albuca	seineri	7.165g
Albuca	setosa	1.3936g
Albuca	shawii	0.85148g
Albuca	sp.	4.8g
Albuca	stapffii	5.0548g
Albuca	tubiformis	7.3956g
Albuca	virens	1.45g
Alcantarea	regina	2.1452g
Aletris	aurea	0.02292g
Aletris	farinosa	0.018g
Aletris	stenoloba	0.01168g
Alisma	gramineum	0.37g
Alisma	lanceolatum	0.472g
Alisma	plantago-aquatica	0.2532g
Alisma	plantago-aquatica	0.5g
Alisma	subcordatum	0.35744g
Alisma	triviale	0.4224g
Allium	acuminatum	2.3163g
Allium	affine	2.0676g
Allium	aflatunense	3.6912g
Allium	alaicum	1.5076g
Allium	albidum	1.5172g
Allium	albotunicatum	0.914g
Allium	alexandrae	0.9268g
Allium	altissimum	6.4408g
Allium	amethystinum	2.0688g
Allium	ampeloprasum	2.7g
Allium	ampeloprasum	2.509g
Allium	amplectens	2.506g
Allium	artemisietorum	0.62716g
Allium	ascalonicum	1.0116g
Allium	aschersonianum	3.588g
Allium	atropurpureum	2.3868g
Allium	atrosanguineum	2.7316g
Allium	atroviolaceum	1.02g
Allium	backhousianum	4.3936g
Allium	barsczewskii	1.7452g
Allium	bigelowii	3.2132g
Allium	bisceptrum	1.8868g
Allium	bolanderi	1.795g
Allium	caesium	1.1324g
Allium	canadense	8.9g
Allium	cardiostemon	1.2964539g
Allium	carinatum	1.6516g
Allium	carinatum	1.636g
Allium	carolinianum	1.894g
Allium	cassium	1.0732g
Allium	cepa	3.32g
Allium	cernuum	3.8577g
Allium	cf.	1.9g
Allium	crispum	1.606g
Allium	curtum	0.61g
Allium	cyathophorum	2.2608g
Allium	dichlamydeum	3.092g
Allium	dictyoprasum	1.3212g
Allium	dodecadontum	1.9224g
Allium	dolichostylum	1.9008g
Allium	drummondii	1.47g
Allium	elegans	0.7332g
Allium	ericetorum	1.83g
Allium	erubescens	0.7836g
Allium	falcifolium	3.426g
Allium	fetisowii	0.7868g
Allium	filidentiforme	1.392g
Allium	fraseri	2.83g
Allium	geyeri	1.7676g
Allium	gramineum	1.5856g
Allium	griffithianum	0.338g
Allium	gunibicum	1.3824g
Allium	guttatum	0.3696g
Allium	guttatum	0.726g
Allium	haematochiton	2.0364g
Allium	hymenorhizum	0.8383g
Allium	insubricum	4.16g
Allium	jodanthum	1.3168g
Allium	karataviense	6.2172g
Allium	karelinii	0.708g
Allium	kaschianum	1.3272g
Allium	kunthianum	0.8372g
Allium	leucanthum	1.3976g
Allium	libani	3.8984g
Allium	litvinovii	0.6392g
Allium	longifolium	3.6948g
Allium	lusitanicum	2.022g
Allium	mairei	3.4764g
Allium	margaritae	1.2404g
Allium	melanantherum	4.6469136g
Allium	moschatum	1.1256g
Allium	narcissiflorum	4.0988g
Allium	neapolitanum	2.26g
Allium	negevense	1.9335g
Allium	nevii	3.36g
Allium	nigrum	7.48g
Allium	oleraceum	0.8809524g
Allium	oreophiloides	1.4804g
Allium	oreoprasum	2.9872g
Allium	oreoscordum	1.8004g
Allium	orientale	10.46g
Allium	oschaninii	3.7468g
Allium	pallasii	1.5964g
Allium	pangasicum	1.4256g
Allium	paniculatum	1.212g
Allium	paniculatum	1.3g
Allium	papillare	1.7056g
Allium	parciflorum	0.5277251g
Allium	peninsulare	1.938g
Allium	petraeum	2.5868g
Allium	phanerantherum	1.2698g
Allium	platycaule	3.08g
Allium	platyspathum	1.008g
Allium	ponticum	1.5908g
Allium	porrum	3.6g
Allium	praecox	3.2g
Allium	pseudoflavum	0.7932g
Allium	pseudostrictum	1.2448g
Allium	pskemense	6.6262712g
Allium	qasyunense	0.6624g
Allium	rosenbachianum	11.0838g
Allium	rothii	3.9465g
Allium	rotundum	0.574g
Allium	rotundum	1.6632g
Allium	rotundum	1.6g
Allium	rubellum	0.79g
Allium	rupestre	1.3672g
Allium	saposhnikovii	1.3252g
Allium	sarawschanicum	4.67g
Allium	saxatile	1.0309868g
Allium	schoenoprasum	0.97g
Allium	scorodoprasum	1.17g
Allium	scorodoprasum	1.155g
Allium	scorzonerifolium	3.550625g
Allium	semenovii	1.009g
Allium	serra	3.0g
Allium	siculum	5.121g
Allium	sp.	18.5g
Allium	sphaerocephalon	1.36g
Allium	stamineum	1.084g
Allium	stellatum	1.89g
Allium	stipitatum	1.6732g
Allium	strictum	0.738g
Allium	stylosum	0.9415789g
Allium	subhirsutum	1.455g
Allium	suworowii	5.5468g
Allium	szovitsii	1.4654g
Allium	talassicum	1.3792g
Allium	tel-avivense	4.551g
Allium	tenuiflorum	1.6236g
Allium	textile	2.523g
Allium	tolmiei	1.6696g
Allium	trachyscordum	2.8168g
Allium	trautvetterianum	6.8104g
Allium	tricoccum	14.379g
Allium	tricoccum	13.5628g
Allium	trifoliatum	1.572g
Allium	tuberosum	4.408g
Allium	unifolium	5.578g
Allium	ursinum	5.5g
Allium	victorialis	3.9942g
Allium	vineale	19g
Allium	viridiflorum	1.0888889g
Allium	vvedenskyanum	0.9556g
Allium	wallichii	4.5866435g
Allium	weschniakowii	1.5016g
Allium	willeanum	0.9092g
Allium	winklerianum	2.18g
Alloteropsis	cimicina	0.6272g
Alloteropsis	semialata	1.585g
Alloteropsis	semialata	0.9908g
Alocasia	brisbanensis	10g
Aloe	aageodonta	1.7892g
Aloe	aculeata	2.2224g
Aloe	acutissima	1.1656g
Aloe	acutissima	0.8006667g
Aloe	acutissima	0.9866g
Aloe	affinis	0.7836g
Aloe	africana	1.6328g
Aloe	amudatensis	0.7909091g
Aloe	angelica	2.0368g
Aloe	antandroy	0.93628g
Aloe	arborescens	1.128g
Aloe	asperifolia	3.5832g
Aloe	babatiensis	0.9487179g
Aloe	betsileensis	1.36g
Aloe	branddraaiensis	0.8096g
Aloe	broomii	0.9976g
Aloe	burgersfortensis	1.124g
Aloe	capitata	1.142g
Aloe	capitata	1.7216g
Aloe	castanea	1.772g
Aloe	castellorum	1.9344g
Aloe	cataractarum	0.5333333g
Aloe	chabaudii	1.8376g
Aloe	chortolirioides	0.9636g
Aloe	citrina	2.2644g
Aloe	claviflora	3.06g
Aloe	commixta	5.0415385g
Aloe	comosa	2.5168g
Aloe	conifera	0.9208g
Aloe	cooperi	2.9696g
Aloe	cryptopoda	1.786g
Aloe	dawei	1.7612g
Aloe	deltoideodonta	1.496g
Aloe	deltoideodonta	1.2136g
Aloe	deserti	1.0352g
Aloe	dewetii	2.1048g
Aloe	dichotoma	7.9144g
Aloe	dinteri	1.972g
Aloe	distans	2.2028g
Aloe	divaricata	0.78632g
Aloe	dominella	1.0093458g
Aloe	dyeri	1.468g
Aloe	ecklonis	2.4154g
Aloe	erinacea	1.728g
Aloe	excelsa	1.1752g
Aloe	ferox	1.727g
Aloe	fosteri	0.90876g
Aloe	gariepensis	1.3498g
Aloe	gerstneri	1.7788g
Aloe	globuligemma	1.4576g
Aloe	grandidentata	1.5172g
Aloe	greatheadii	0.8884g
Aloe	greatheadii	1.5205g
Aloe	greenii	1.9316g
Aloe	hereroensis	1.8969g
Aloe	hlangapies	2.2984g
Aloe	ibitiensis	1.1152g
Aloe	imalotensis	0.91g
Aloe	jucunda	1.5421g
Aloe	komatiensis	1.3988g
Aloe	laeta	1.1004g
Aloe	lateritia	1.6385g
Aloe	lineata	1.9516g
Aloe	lineata	0.70436g
Aloe	littoralis	2.4039g
Aloe	lutescens	1.8372g
Aloe	macroclada	0.844g
Aloe	maculata	1.645g
Aloe	madecassa	1.358g
Aloe	mandotoensis	1.016g
Aloe	marlothii	1.4456g
Aloe	marlothii	1.8248g
Aloe	melanacantha	1.5798g
Aloe	micracantha	2.6696g
Aloe	microstigma	1.85g
Aloe	microstigma	1.589g
Aloe	mitriformis	1.046g
Aloe	modesta	1.204g
Aloe	mudenensis	1.6528g
Aloe	namibensis	1.8232g
Aloe	niebuhriana	1.6221277g
Aloe	parvibracteata	2.0488g
Aloe	parviflora	0.9804g
Aloe	pearsonii	1.1564g
Aloe	peglerae	1.4194g
Aloe	petricola	1.15g
Aloe	pillansii	20.7816g
Aloe	plicatilis	5.337g
Aloe	pluridens	1.654g
Aloe	polyphylla	6.8416g
Aloe	pretoriensis	0.9604g
Aloe	prinslooi	2.2476g
Aloe	pruinosa	1.336g
Aloe	purpurea	2.76072g
Aloe	rabaiensis	1.0312g
Aloe	ramosissima	7.466g
Aloe	reitzii	1.164g
Aloe	reitzii	1.052g
Aloe	reynoldsii	0.9459459g
Aloe	rupestris	1.5908g
Aloe	schelpei	1.1486014g
Aloe	schweinfurthii	3.0028g
Aloe	secundiflora	1.258g
Aloe	sinkatana	0.8571429g
Aloe	speciosa	1.4261g
Aloe	spicata	0.6216g
Aloe	striata	1.2244g
Aloe	suarezensis	1.3628g
Aloe	suprafoliata	1.6308g
Aloe	suzannae	6.0777g
Aloe	swynnertonii	1.0448g
Aloe	tewoldei	1.4392857g
Aloe	thorncroftii	1.248g
Aloe	tormentorii	6.452g
Aloe	trachyticola	1.6912g
Aloe	transvaalensis	1.448g
Aloe	ukambensis	2.9758621g
Aloe	vaombe	1.7632g
Aloe	vaotsanda	1.272g
